City,Country,lat,lon,numberoffacilities,Source
Brussels,Belgium,50.84,4.35,1,https://www.emcdda.europa.eu/media-library/infographic-location-and-number-drug-consumption-room-facilities-throughout-europe_en
Liege,Belgium,50.6278,5.57459,1,https://www.emcdda.europa.eu/media-library/infographic-location-and-number-drug-consumption-room-facilities-throughout-europe_en
Aarhus,Denmark,56.14597,10.19845,1,https://www.emcdda.europa.eu/media-library/infographic-location-and-number-drug-consumption-room-facilities-throughout-europe_en
Copenhagen,Denmark,55.67453,12.5677,2,https://www.emcdda.europa.eu/media-library/infographic-location-and-number-drug-consumption-room-facilities-throughout-europe_en
Odense,Denmark,55.39509,10.38202,1,https://www.emcdda.europa.eu/media-library/infographic-location-and-number-drug-consumption-room-facilities-throughout-europe_en
Vejle,Denmark,55.70232,9.522832,1,https://www.emcdda.europa.eu/media-library/infographic-location-and-number-drug-consumption-room-facilities-throughout-europe_en
Paris,France,48.8539,2.34879,1,https://www.emcdda.europa.eu/media-library/infographic-location-and-number-drug-consumption-room-facilities-throughout-europe_en
Strasbourg,France,48.579,7.73633,1,https://www.emcdda.europa.eu/media-library/infographic-location-and-number-drug-consumption-room-facilities-throughout-europe_en
Berlin,Germany,52.504671,13.3945135,3,https://www.emcdda.europa.eu/media-library/infographic-location-and-number-drug-consumption-room-facilities-throughout-europe_en
Bielefeld,Germany,52.02656,8.540516,1,https://www.emcdda.europa.eu/media-library/infographic-location-and-number-drug-consumption-room-facilities-throughout-europe_en
Bochum,Germany,51.4815,7.2244,1,https://www.emcdda.europa.eu/media-library/infographic-location-and-number-drug-consumption-room-facilities-throughout-europe_en
Bonn,Germany,50.78,7.1778,1,https://www.emcdda.europa.eu/media-library/infographic-location-and-number-drug-consumption-room-facilities-throughout-europe_en
Dortmund,Germany,51.56247,7.45377,1,https://www.emcdda.europa.eu/media-library/infographic-location-and-number-drug-consumption-room-facilities-throughout-europe_en
Düsseldorf,Germany,51.2397,6.6778,1,https://www.emcdda.europa.eu/media-library/infographic-location-and-number-drug-consumption-room-facilities-throughout-europe_en
Essen,Germany,51.4798,7.0569,1,https://www.emcdda.europa.eu/media-library/infographic-location-and-number-drug-consumption-room-facilities-throughout-europe_en
Frankfurt,Germany,50.20948,8.76,4,https://www.emcdda.europa.eu/media-library/infographic-location-and-number-drug-consumption-room-facilities-throughout-europe_en
